suspect_id,suspect_type,true_parent_idx,predicted_parent_idx,rank_of_true,is_correct,reciprocal_rank,margin,max_score,true_parent_score,method
ref0_ft,fine_tuned,0,0,1,True,1.0,0.9135663271541087,0.9994872285240582,0.9994872285240582,diag_centered
ref0_q8,quantized,0,0,1,True,1.0,0.9136611952298976,0.9999342320118664,0.9999342320118664,diag_centered
ref0_pr30,pruned,0,0,1,True,1.0,0.9000705280303845,0.9860240134607684,0.9860240134607684,diag_centered
ref0_noise,noisy,0,0,1,True,1.0,0.9139852318817926,0.9999025551797326,0.9999025551797326,diag_centered
ref0_lora,lora_merged,0,0,1,True,1.0,0.9144987184857046,0.9999999999988453,0.9999999999988453,diag_centered
ref1_ft,fine_tuned,1,1,1,True,1.0,0.9094508336566074,0.9719731687816267,0.9719731687816267,diag_centered
ref1_q8,quantized,1,1,1,True,1.0,0.9085020360148045,0.9736797370147551,0.9736797370147551,diag_centered
ref1_pr30,pruned,1,1,1,True,1.0,0.8879101414176636,0.9539843405465535,0.9539843405465535,diag_centered
ref1_noise,noisy,1,1,1,True,1.0,0.9082938344305722,0.9736532232933248,0.9736532232933248,diag_centered
ref1_lora,lora_merged,1,1,1,True,1.0,0.9088277325436755,0.9737531242668895,0.9737531242668895,diag_centered
ref2_ft,fine_tuned,2,2,1,True,1.0,0.9196668988498522,0.9871429296204693,0.9871429296204693,diag_centered
ref2_q8,quantized,2,2,1,True,1.0,0.9172660373703643,0.9878410025971794,0.9878410025971794,diag_centered
ref2_pr30,pruned,2,2,1,True,1.0,0.8932163387182026,0.9732101256154561,0.9732101256154561,diag_centered
ref2_noise,noisy,2,2,1,True,1.0,0.917985669806253,0.9885487478528358,0.9885487478528358,diag_centered
ref2_lora,lora_merged,2,2,1,True,1.0,0.9182673108633015,0.9886722598017134,0.9886722598017134,diag_centered
ref3_ft,fine_tuned,3,3,1,True,1.0,0.9084375053733287,0.9889804137065643,0.9889804137065643,diag_centered
