name,depth,hidden,in_dim,epochs,lr,batch,seed,epoch,pair_acc,pair_sep,wout_norm_rho,wall_C,reassembly_mse,reassembly_success,train_loss
d24w64i24,24,64,24,800,0.003,256,0,0,0.08333333333333333,-0.7376959472918192,0.10869565217391304,0.05726003083026656,6.699742668143952,False,10.100921630859375
d24w64i24,24,64,24,800,0.003,256,0,1,0.7083333333333334,-0.5700478180243829,0.1678260869565217,0.41296503875388874,3.376415772664631,False,1.6088032722473145
d24w64i24,24,64,24,800,0.003,256,0,2,0.875,-0.6426507664592819,0.040869565217391296,0.3197901642576749,2.0270087195313096,False,1.0461409091949463
d24w64i24,24,64,24,800,0.003,256,0,5,1.0,-0.4379449775404093,-0.3608695652173913,0.3562646418422243,2.3329956652412847,False,0.57119220495224
d24w64i24,24,64,24,800,0.003,256,0,10,1.0,-0.17978450480215186,-0.6295652173913043,0.36560774417047465,2.7338690619214714,False,0.21721221506595612
d24w64i24,24,64,24,800,0.003,256,0,25,1.0,0.008457259172461318,-0.8078260869565217,0.38571947622297637,2.814970340372649,False,0.12208715826272964
d24w64i24,24,64,24,800,0.003,256,0,50,1.0,-0.02457606927095146,-0.8704347826086956,0.411088335966777,2.9524457548864875,False,0.08250869065523148
d24w64i24,24,64,24,800,0.003,256,0,100,1.0,-0.1985145010700377,-0.8426086956521738,0.43574257893356366,2.9069926773182084,False,0.05385802686214447
d24w64i24,24,64,24,800,0.003,256,0,200,1.0,-0.4507221864724417,-0.7704347826086956,0.4607593332447579,2.285437479749001,False,0.04339243471622467
d24w64i24,24,64,24,800,0.003,256,0,400,1.0,-0.5100272248342095,-0.6008695652173912,0.47439994590012163,1.8158032379746218,False,0.030248066410422325
d24w64i24,24,64,24,800,0.003,256,0,600,1.0,-0.5206204689434595,-0.577391304347826,0.4796019243052297,1.8865201216660674,False,0.029439421370625496
d24w64i24,24,64,24,800,0.003,256,0,800,1.0,-0.5235492919299327,-0.5791304347826086,0.48037211361920396,1.598137782842924,False,0.029501045122742653
d24w64i24,24,64,24,800,0.003,256,1,0,0.041666666666666664,-0.645151046927739,-0.25478260869565217,-0.0001766199183182998,8.770633366898165,False,9.761756896972656
d24w64i24,24,64,24,800,0.003,256,1,1,0.7083333333333334,-0.5371438863725564,-0.13739130434782607,0.3267233449172808,4.388352542458862,False,1.8783354759216309
d24w64i24,24,64,24,800,0.003,256,1,2,0.9166666666666666,-0.41903096458386657,-0.11304347826086956,0.4498329354129455,4.769415094828979,False,0.8948481678962708
d24w64i24,24,64,24,800,0.003,256,1,5,1.0,-0.13117773056023263,-0.29304347826086957,0.4752481863059598,5.047359331236488,False,0.6591425538063049
d24w64i24,24,64,24,800,0.003,256,1,10,1.0,-0.10840180190907145,-0.6521739130434783,0.470590986737356,4.5337042571213315,False,0.25031527876853943
d24w64i24,24,64,24,800,0.003,256,1,25,1.0,-0.19483542589481817,-0.7852173913043478,0.47926196875973254,4.898244443883821,False,0.12791837751865387
d24w64i24,24,64,24,800,0.003,256,1,50,1.0,-0.23360385044305554,-0.8391304347826085,0.47346530764613837,3.807613289959704,False,0.0875115692615509
d24w64i24,24,64,24,800,0.003,256,1,100,1.0,-0.34101847606667535,-0.7608695652173912,0.47571572916173854,3.871603574358164,False,0.05802112817764282
d24w64i24,24,64,24,800,0.003,256,1,200,1.0,-0.3741889387151335,-0.7269565217391305,0.48725833149651265,4.839311239276319,False,0.049514103680849075
d24w64i24,24,64,24,800,0.003,256,1,400,1.0,-0.4730759684090927,-0.5356521739130434,0.5139768993184796,4.259237234076101,False,0.03461018577218056
d24w64i24,24,64,24,800,0.003,256,1,600,1.0,-0.4935028889711072,-0.48086956521739127,0.5171247171551263,3.9597721802202805,False,0.03371741250157356
d24w64i24,24,64,24,800,0.003,256,1,800,1.0,-0.4935895457584529,-0.48086956521739127,0.5171740585306864,3.9599587633351554,False,0.033710088580846786
