pair_acc,pair_sep,wout_rho,orig_mse,sa_asc,sa_desc,epochs,lr,attack
1.0,1.180109882566783,0.9856708640903168,1.575938708651356e-14,0.07529937061630379,0.3115391986697543,0,0.0,ft_pred
1.0,1.1800950287276724,0.9856708640903168,4.605616087871579e-05,0.07527047221541394,0.2702888520047305,1,1e-05,ft_pred
1.0,1.1781301761183554,0.9856708640903168,0.0015213515976359462,0.07769625511437823,0.34198359135720485,1,0.0001,ft_pred
1.0,1.1410843653290454,0.9849109856708641,0.02078189326814729,0.08211639596563797,0.23546900472527074,1,0.001,ft_pred
1.0,1.1716396970642906,0.9856708640903168,0.0006938670519401831,0.06456035513327847,0.3620594874578205,5,0.0001,ft_pred
1.0,1.109630288499523,0.9842596613113331,0.006660556581572791,0.04400384958865399,0.3387590379670165,5,0.001,ft_pred
1.0,1.1593350447360264,0.9856708640903168,0.0003732482946915072,0.06313859607090985,0.45388843920939864,20,0.0001,ft_pred
1.0,0.9740597642103516,0.9777464177160226,0.0025832123286622403,0.038005150698291225,0.1907742267357795,20,0.001,ft_pred
1.0,0.9177845287094375,0.9604863221884498,0.0005576308074235041,0.04883217609617148,0.28817196172686677,50,0.001,ft_pred
1.0,1.1837326075222123,0.9856708640903168,0.02223928768490434,0.073460566106432,0.21573670783014331,1,0.0001,ft_true
1.0,1.1521759067314434,0.9870820668693009,0.06332150167431878,0.09632324784354367,0.5012331682116228,1,0.001,ft_true
1.0,1.065482746932309,0.982848458532349,0.08052025991773136,0.07590869330541372,0.28830491257403174,5,0.001,ft_true
1.0,0.9398865495738178,0.9557099435518888,0.07701047910828282,0.0981959680581538,0.12135742015353625,20,0.001,ft_true
1.0,0.8424644533904931,0.9607034303082935,0.09144100939200765,0.08960312215090634,0.352917728733377,50,0.001,ft_true
1.0,1.180109882566783,0.9856708640903168,1.575938708651356e-14,0.07529937061630379,0.3115391986697543,0,0.0,noise
1.0,1.1800953255851767,0.9856708640903168,,,,0,0.0001,noise
1.0,1.1801012591424584,0.9856708640903168,,,,0,0.001,noise
1.0,1.1796008985174198,0.9856708640903168,,,,0,0.003,noise
1.0,1.1846553672770832,0.9856708640903168,,,,0,0.01,noise
1.0,1.1739143670860983,0.9859965262700825,,,,0,0.03,noise
