name,depth,hidden,in_dim,epochs,lr,batch,seed,epoch,pair_acc,pair_sep,wout_norm_rho,wall_C,reassembly_mse,reassembly_success,train_loss
d8w32,8,32,16,120,0.001,256,0,0,0.25,-0.513638213507933,0.1666666666666667,-0.02535476277453433,4.180343114100339,False,4.069834232330322
d8w32,8,32,16,120,0.001,256,0,1,0.25,-0.46976327995449335,0.1666666666666667,0.11127880231267087,3.0376376253854165,False,2.0865094661712646
d8w32,8,32,16,120,0.001,256,0,2,0.25,-0.413555990284941,0.1666666666666667,0.17629821648286786,2.607929992663857,False,1.3540236949920654
d8w32,8,32,16,120,0.001,256,0,5,0.25,-0.45465067357651057,-0.09523809523809526,0.23829560743313608,2.351363565707257,False,0.6577795147895813
d8w32,8,32,16,120,0.001,256,0,10,0.25,-0.49144546131598954,-0.09523809523809526,0.22970338282773503,2.54327223809964,False,0.6176631450653076
d8w32,8,32,16,120,0.001,256,0,20,0.25,-0.5301529265654383,-0.5476190476190477,0.21985654118019876,2.332228094843427,False,0.3344755172729492
d8w32,8,32,16,120,0.001,256,0,40,0.125,-0.45912713238940683,-0.523809523809524,0.19066218909878732,3.024535408717232,False,0.1750299036502838
d8w32,8,32,16,120,0.001,256,0,60,0.375,-0.4473366202156164,-0.5714285714285715,0.20032815470790596,1.890531550777827,False,0.12958931922912598
d8w32,8,32,16,120,0.001,256,0,70,0.375,-0.4502111800299101,-0.5714285714285715,0.2120025888452628,1.999217059105195,False,0.11358258873224258
d8w32,8,32,16,120,0.001,256,0,120,0.375,-0.5151783680106559,-0.4285714285714286,0.20539305442165628,1.89428418534958,False,0.07955597341060638
d8w32,8,32,16,120,0.001,256,1,0,0.125,-0.743933610283263,-0.11904761904761905,0.0,3.7115815618520718,False,4.663381576538086
d8w32,8,32,16,120,0.001,256,1,1,0.125,-0.6967196352878162,-0.19047619047619052,0.03246014513985793,2.4157305086001553,False,1.9768604040145874
