pair_acc_hun,pair_acc_greedy,pair_sep,wout_rho,mse_native,scenario
1.0,1.0,1.180109882566783,0.9856708640903168,1.5759387092070617e-14,baseline
1.0,1.0,1.0954783636487928,0.9856708640903168,1.5759387087906157e-14,shuffle_only
1.0,1.0,0.740659058494778,0.8981762917933132,0.006886722798727232,ft_pred_50ep_1e-3
1.0,1.0,0.8575824866319586,0.9707989578810247,0.02455044965433159,ft_pred + shuffle
1.0,1.0,0.7305388698418929,0.9587494572297004,0.08509490046742313,ft_true + shuffle
1.0,1.0,1.1235827805925642,0.9856708640903168,,noise_1e-2 + shuffle
1.0,1.0,1.0954783636487928,0.9856708640903168,1.5759387087906157e-14,shuffle_seed1
1.0,1.0,1.1343700621289305,0.9856708640903168,1.5759387081201783e-14,shuffle_seed2
1.0,1.0,1.0621764002954026,0.9856708640903168,1.5759387091070777e-14,shuffle_seed3
1.0,1.0,1.1559750349009157,0.9856708640903168,1.5759387084787783e-14,shuffle_seed4
1.0,1.0,1.0600192465204425,0.9856708640903168,1.5759387092196412e-14,shuffle_seed5
