name,depth,hidden,in_dim,epochs,lr,batch,seed,epoch,pair_acc,pair_sep,wout_norm_rho,wall_C,reassembly_mse,reassembly_success,train_loss
d8w32,8,32,16,120,0.001,256,0,0,0.25,-0.5136382242552748,0.1666666666666667,-0.02535474635355171,4.180343325742394,False,4.0698347091674805
d8w32,8,32,16,120,0.001,256,0,1,0.25,-0.46976326918543904,0.1666666666666667,0.11127881288956888,3.037637962925402,False,2.0865097045898438
d8w32,8,32,16,120,0.001,256,0,2,0.25,-0.413555969735669,0.1666666666666667,0.17629823069938022,2.6079302968770603,False,1.354023814201355
d8w32,8,32,16,120,0.001,256,0,5,0.25,-0.45465067769922834,-0.09523809523809526,0.23829564276040943,2.351363855705744,False,0.6577795147895813
d8w32,8,32,16,120,0.001,256,0,10,0.25,-0.4914453869075337,-0.09523809523809526,0.2297034072988701,2.543272484399898,False,0.6176632046699524
d8w32,8,32,16,120,0.001,256,0,20,0.25,-0.5301528923488479,-0.5476190476190477,0.2198565851473323,2.3322284236162574,False,0.3344756066799164
d8w32,8,32,16,120,0.001,256,0,40,0.125,-0.45897104990056564,-0.523809523809524,0.19065244423957547,3.0245953037306625,False,0.1750270426273346
d8w32,8,32,16,120,0.001,256,0,60,0.375,-0.4465103044883576,-0.5714285714285715,0.19990806360390712,1.8905264040273637,False,0.12938231229782104
d8w32,8,32,16,120,0.001,256,0,70,0.375,-0.44999917150481816,-0.5714285714285715,0.21246841877198,1.997747943250015,False,0.11366482079029083
d8w32,8,32,16,120,0.001,256,0,120,0.375,-0.5102662326371479,-0.4285714285714286,0.20536435956980806,1.8910328867424842,False,0.07964298129081726
d8w32,8,32,16,120,0.001,256,1,0,0.125,-0.743933603756626,-0.11904761904761905,0.0,3.711581917859171,False,4.663382053375244
d8w32,8,32,16,120,0.001,256,1,1,0.125,-0.696719586509329,-0.19047619047619052,0.03246015040556672,2.4157309377972807,False,1.976860761642456
d8w32,8,32,16,120,0.001,256,1,2,0.375,-0.677903934531823,-0.4285714285714286,0.10570980444541601,2.2428349299029615,False,1.2549527883529663
d8w32,8,32,16,120,0.001,256,1,5,0.125,-0.5980402301022043,-0.5000000000000001,0.18509547401331417,1.818620673272316,False,0.647014856338501
d8w32,8,32,16,120,0.001,256,1,10,0.125,-0.5772037942498125,-0.4523809523809524,0.1942987654816372,1.8144894780608858,False,0.5814633369445801
d8w32,8,32,16,120,0.001,256,1,20,0.0,-0.6754262798708749,0.38095238095238104,0.21809403734130076,2.364059013382987,False,0.36135709285736084
d8w32,8,32,16,120,0.001,256,1,40,0.0,-0.6393661312377146,0.38095238095238104,0.2363391176303232,2.450751471133386,False,0.16178439557552338
d8w32,8,32,16,120,0.001,256,1,60,0.0,-0.6753825955138045,0.4761904761904762,0.22151264401318924,2.4895021410750413,False,0.12383957207202911
d8w32,8,32,16,120,0.001,256,1,70,0.0,-0.6792289516697991,0.5000000000000001,0.2245778674069212,2.5403558123534573,False,0.11190156638622284
d8w32,8,32,16,120,0.001,256,1,120,0.0,-0.5702670999121553,0.3571428571428572,0.23308859225514938,2.7776415299817345,False,0.0726219043135643
d16w32,16,32,16,150,0.001,256,0,0,0.125,-0.6789112018964825,-0.008823529411764706,0.019359857651436847,2.8189547249493696,False,2.7450718879699707
d16w32,16,32,16,150,0.001,256,0,1,0.125,-0.6596021501672885,0.06764705882352941,0.13215352189347757,2.5942368356447956,False,0.8231996297836304
d16w32,16,32,16,150,0.001,256,0,2,0.0625,-0.6677835054162711,0.06470588235294117,0.14651571929276752,2.8547652201576508,False,0.6615930795669556
d16w32,16,32,16,150,0.001,256,0,5,0.125,-0.6664357692608421,0.03823529411764706,0.15193630226225258,2.1923883448546544,False,0.597244381904602
d16w32,16,32,16,150,0.001,256,0,10,0.125,-0.707197140399253,-0.06176470588235294,0.16123955573672336,2.2954462028589386,False,0.4365493655204773
d16w32,16,32,16,150,0.001,256,0,20,0.0625,-0.7824265729796369,-0.1264705882352941,0.17982996307476895,2.7665527148803455,False,0.20438137650489807
d16w32,16,32,16,150,0.001,256,0,40,0.0625,-0.7268933441061745,-0.12058823529411765,0.2120141255077811,2.6906402320636067,False,0.1430525779724121
d16w32,16,32,16,150,0.001,256,0,70,0.125,-0.6916025210779965,-0.03823529411764706,0.23411321285336828,2.9335646852936983,False,0.10963843017816544
d16w32,16,32,16,150,0.001,256,0,75,0.125,-0.6920748436046166,-0.03823529411764706,0.2370318942939912,2.765566685933108,False,0.11025471985340118
d16w32,16,32,16,150,0.001,256,0,150,0.125,-0.676965888552364,-0.008823529411764706,0.25999764718636503,2.8864670914438944,False,0.09629154205322266
d16w32,16,32,16,150,0.001,256,1,0,0.125,-0.7578873913555629,-0.0823529411764706,-0.004720453095257372,3.1249180450432332,False,2.4774718284606934
d16w32,16,32,16,150,0.001,256,1,1,0.0625,-0.7693495721772046,0.047058823529411764,0.09077021606663298,2.240991715605337,False,0.8176496624946594
d16w32,16,32,16,150,0.001,256,1,2,0.125,-0.755806448659345,0.07352941176470588,0.09835461909593195,2.302023230705204,False,0.6752240061759949
d16w32,16,32,16,150,0.001,256,1,5,0.125,-0.7273406954939663,0.06470588235294117,0.10777098058558866,2.236941166219992,False,0.5325183272361755
d16w32,16,32,16,150,0.001,256,1,10,0.125,-0.7511685781675741,0.07352941176470588,0.13527948670463982,2.2007110436435586,False,0.2762407064437866
d16w32,16,32,16,150,0.001,256,1,20,0.125,-0.7858928641005447,-0.01764705882352941,0.16009118800918407,2.385064670124402,False,0.18232932686805725
d16w32,16,32,16,150,0.001,256,1,40,0.125,-0.843182529873495,0.1764705882352941,0.1727245872099341,2.5080559711904313,False,0.11739034950733185
d16w32,16,32,16,150,0.001,256,1,70,0.125,-0.870671480485464,0.22058823529411767,0.18503570107664263,1.6765764478786926,False,0.09109405428171158
