name,depth,hidden,in_dim,epochs,lr,batch,seed,epoch,pair_acc,pair_sep,wout_rho,seed_mse_asc,seed_mse_desc,hc_asc,hc_desc,wout_norms,sa_asc,sa_desc,train_loss
d8_h32,8,32,16,200,0.003,256,0,0,0.25,-0.513638213507933,0.1666666666666667,4.8490491505616395,4.033101619798326,4.021496778126812,4.030042696199687,"[2.347202592742915, 2.260971417437982, 2.2174161961710426, 2.3032826555640655, 2.344082833208727, 2.357241150707518, 2.2812745997616077, 2.3264413127061214]",3.9000411914271718,3.9000411914271718,4.09855318069458
d8_h32,8,32,16,200,0.003,256,0,1,0.75,-0.5062245544124055,-0.30952380952380953,1.2909553102147178,0.9138298462236543,1.107334057354447,0.8076591608678464,"[2.4283676303864943, 2.375837492267845, 2.2881877086673486, 2.3651449443397543, 2.379381584293405, 2.3867632411817965, 2.369665599573113, 2.3457473889022125]",0.7843264755859466,0.7835492869794074,0.6670896410942078
d8_h32,8,32,16,200,0.003,256,0,2,0.75,-0.3887572458172874,-0.38095238095238104,1.217985383485907,0.8403355957857794,0.9821951028740731,0.6840607027443955,"[2.442706878328908, 2.388469319609027, 2.3039030050743525, 2.35884430681019, 2.3825139058170124, 2.4051423855460827, 2.367453329192505, 2.3453569728997654]",0.6840607027443955,0.6840607027443955,0.5569054484367371
d8_h32,8,32,16,200,0.003,256,0,5,1.0,-0.1641525716695002,-0.6666666666666669,1.4567792575405432,1.4105750704758282,0.999653572144741,0.201016569608615,"[2.641422295860173, 2.512945438970208, 2.489399025536243, 2.4662850235851344, 2.4941286212309546, 2.548119737827958, 2.408768433672957, 2.411483607213495]",0.201016569608615,0.201016569608615,0.20101654529571533
d8_h32,8,32,16,200,0.003,256,0,10,1.0,-0.13779731389110123,-0.5952380952380953,1.568898163500581,0.8538045281873003,0.47093497671422346,0.6643967747103265,"[2.790615140742269, 2.581452117509974, 2.5997878153190137, 2.571591442351117, 2.6287661043752184, 2.6257019762327696, 2.4635366659384714, 2.4909213052411054]",0.0867136565683935,0.0867136565683935,0.08671365678310394
d8_h32,8,32,16,200,0.003,256,0,25,1.0,-0.06344741260408238,-0.7857142857142858,1.6949929481151789,0.5954865912358134,0.4275027080200755,0.021698737801909944,"[2.889627672332776, 2.735755750002459, 2.731960076418678, 2.660036751349783, 2.771516411187078, 2.7172168073695233, 2.515613158672111, 2.5262355654633386]",0.021698737801909944,0.021698737801909944,0.021698737516999245
d8_h32,8,32,16,200,0.003,256,0,50,1.0,-0.01188762019205547,-0.8333333333333335,1.9461175158390294,0.5242903431234753,0.6333997958321606,0.013372212863724331,"[2.9588279674799276, 2.799178166417381, 2.8429341565700277, 2.7065377626113, 2.8268321851811242, 2.782084307169288, 2.5747084369285473, 2.5372559590845247]",0.013372212863724331,0.013372212863724331,0.013372210785746574
d8_h32,8,32,16,200,0.003,256,0,100,1.0,0.01011115548141528,-0.8333333333333335,1.8876013865323134,0.532039226108243,1.421861753193764,0.009712614921912095,"[3.0396063897618077, 2.85898264139464, 2.928904205053063, 2.756089225240848, 2.8926729187856246, 2.854581481559683, 2.597955856735695, 2.5514520248135963]",0.009712614921912095,0.009712614921912095,0.009712614119052887
d8_h32,8,32,16,200,0.003,256,0,200,1.0,0.02088513412473414,-0.7380952380952381,1.7823081157680867,0.9395546399586623,0.6650046447819059,0.008251857172529442,"[3.069533185978439, 2.8824931406368712, 2.965372740865677, 2.7817335595073267, 2.9253269936273005, 2.8848443561211305, 2.6112993403412936, 2.5609068176717917]",0.008251857172529442,0.008251857172529442,0.008251859806478024
d8_h32,8,32,16,200,0.003,256,1,0,0.125,-0.743933610283263,-0.11904761904761905,3.800487754000093,5.110735779623489,3.766600487447847,4.020689691541889,"[2.3220606097089855, 2.3285387351638516, 2.347841634877482, 2.288932521015918, 2.35342353650202, 2.3113277118477766, 2.334852996814341, 2.3120681452540537]",3.6923826086445004,3.6571474315084904,4.660956859588623
d8_h32,8,32,16,200,0.003,256,1,1,0.125,-0.5992537327338748,-0.38095238095238104,1.7523561322460155,1.7182318070163152,1.7230592847122412,1.6442340404087337,"[2.393782024390577, 2.360138908567245, 2.3724511664135934, 2.300170242666557, 2.3815484590213005, 2.3462847935748967, 2.3526294870636844, 2.3649496668420777]",1.558232744206572,1.558232744206572,0.6072177886962891
d8_h32,8,32,16,200,0.003,256,1,2,0.125,-0.4985796433902,-0.07142857142857144,1.8440047727898732,1.7375631213354013,1.713005051384312,1.633712773147247,"[2.409151638782673, 2.369359127222123, 2.3986057519308015, 2.3203881426478, 2.3782756059898413, 2.3492455190997985, 2.3789190073824966, 2.4018307220828756]",1.524106362763262,1.524106362763262,0.49967554211616516
