kind,model_a,model_b,expected,L,z,verdict,min_block,max_block
descendant,llama2-7b-base,llama2-7b-chat,DESCENDANT,0.9945836067199707,25.79623402414095,DESCENDANT,0.9929452538490295,0.9960645437240601
desc-local,llama2-7b-base,base+quant-int8,DESCENDANT,0.9999125599861145,25.943905791392815,DESCENDANT,0.9998997449874878,0.9999454617500305
desc-local,llama2-7b-base,base+prune-30,DESCENDANT,0.9858792424201965,25.55502551756273,DESCENDANT,0.9847158789634705,0.9911534190177917
desc-local,llama2-7b-base,base+noise-1pct,DESCENDANT,0.999901294708252,25.943593616861072,DESCENDANT,0.9998912215232849,0.9999393224716187
independent,llama2-7b-base,deepseek-r1-distill-llama-8b,NON-DESCENDANT,-0.00016331201186403632,-1.769411257596446,NON-DESCENDANT,-0.0006728470325469971,0.0003127616364508867
