kind,model_a,model_b,expected,L,z,verdict,min_block,max_block
descendant,llama2-7b-base,llama2-7b-chat,DESCENDANT,0.9945836067199707,11332.920640091877,DESCENDANT,0.9929452538490295,0.9960645437240601
descendant,llama2-7b-base,base+quant-int8,DESCENDANT,0.9999125599861145,11393.63975331653,DESCENDANT,0.9998997449874878,0.9999454617500305
descendant,llama2-7b-base,base+prune-30,DESCENDANT,0.9858792424201965,11233.741447655635,DESCENDANT,0.9847158789634705,0.9911534190177917
descendant,llama2-7b-base,base+noise-1pct,DESCENDANT,0.999901294708252,11393.51139458492,DESCENDANT,0.9998912215232849,0.9999393224716187
independent,llama2-7b-base,deepseek-r1-distill-llama-8b,NON-DESCENDANT,-0.00016331201186403632,-1.416099562177394,NON-DESCENDANT,-0.0006728470325469971,0.0003127616364508867
independent,llama2-7b-base,mistral-7b-v0.1,NON-DESCENDANT,-3.85297134926077e-05,0.005693822910771727,NON-DESCENDANT,-0.0004790927341673523,0.0004648034810088575
independent,llama2-7b-base,qwen1.5-7b,NON-DESCENDANT,2.3031234377413057e-05,0.7071310428024831,NON-DESCENDANT,-0.0003212279989384115,0.00040036445716395974
independent,llama2-7b-base,yi-6b,NON-DESCENDANT,2.26927859330317e-05,0.7032746964641391,NON-DESCENDANT,-0.00041498945211060345,0.0007013855502009392
