pathology,seed,epoch,train_loss,eval_loss,pair_acc,pair_sep,mean_dd_score,mean_incorrect,pct_negative_trace,auc
healthy_baseline,0,0,221320871936.0,210029969408.0,0.0,-0.5316445362958541,0.14861994977740664,0.16236764886155997,0.4583333333333333,0.47207125603864736
healthy_baseline,0,1,142513488.0,143743216.0,0.0,-0.5471959731724816,0.14753798738833104,0.16213849867492094,0.5416666666666666,0.469429347826087
healthy_baseline,0,2,11921404.0,12286183.0,0.0,-0.562953911877422,0.14761410787660972,0.16202705636678286,0.5416666666666666,0.46927838164251207
healthy_baseline,0,3,9053953.0,8477217.0,0.0,-0.5811587742476515,0.14781375329344767,0.16209199432020163,0.5833333333333334,0.46875
healthy_baseline,0,4,4851615.5,4664655.5,0.0,-0.5944575364608847,0.14816660546183028,0.16212364476356522,0.5833333333333334,0.466862922705314
healthy_baseline,0,5,923045.5625,884162.1875,0.0,-0.5900272612270203,0.15172323195193319,0.16215682825644695,0.75,0.47380736714975846
healthy_baseline,0,7,977055.5625,1022413.5,0.0,-0.552100173788742,0.16948082467412742,0.1618302313429927,0.7916666666666666,0.5289100241545893
healthy_baseline,0,10,27415.92578125,31095.439453125,0.0,-0.5884462765144802,0.1900731057844545,0.16186677470782668,0.8333333333333334,0.573822463768116
healthy_baseline,0,15,2530.243408203125,2949.73046875,0.041666666666666664,-0.5807079921257823,0.23453255364951445,0.16240076251775995,0.9166666666666666,0.6642512077294686
healthy_baseline,0,20,293.30462646484375,345.902099609375,0.08333333333333333,-0.5641952846877101,0.24708434906408158,0.1625325437280504,0.9166666666666666,0.6856884057971014
healthy_baseline,0,30,123.80489349365234,139.1837158203125,0.08333333333333333,-0.5395551974705717,0.26805228441696743,0.16251809854194227,0.9166666666666666,0.7211654589371981
healthy_baseline,0,50,198.38296508789062,206.20840454101562,0.25,-0.46533598930984377,0.32227122857232454,0.16250541589196618,1.0,0.8023852657004831
healthy_baseline,0,75,15.519794464111328,14.477951049804688,0.875,-0.19972353261099002,0.5338634038343548,0.16376951421938538,1.0,0.961881038647343
healthy_baseline,0,100,46.1892204284668,47.97101593017578,1.0,-0.07280145364408816,0.7470207477399976,0.16437959621162995,1.0,0.9872433574879227
healthy_baseline,0,150,0.8045654296875,1.5141338109970093,1.0,-0.012463160052556821,1.0328218845417514,0.16547785775424,1.0,0.992602657004831
healthy_baseline,0,200,0.14391516149044037,1.1438181400299072,1.0,0.0050506633633745635,1.1681067362469646,0.16562379592205484,1.0,0.9940368357487923
healthy_baseline,1,0,355938402304.0,378644594688.0,0.125,-0.6078402934366316,0.19109861137487708,0.1515494353727042,0.5416666666666666,0.5726902173913043
healthy_baseline,1,1,40993812.0,43179060.0,0.125,-0.6035861722360634,0.1941169611498835,0.15146815946703737,0.5833333333333334,0.5832578502415459
healthy_baseline,1,2,10713277.0,10743539.0,0.125,-0.5958202820301182,0.19703294872350874,0.1513243512245309,0.5833333333333334,0.5871829710144928
healthy_baseline,1,3,8031835.0,7652463.5,0.125,-0.5860678758372717,0.1979989811162944,0.1512488363696766,0.5833333333333334,0.5871074879227053
healthy_baseline,1,4,1895435.375,1970625.5,0.125,-0.6006156771990387,0.20011767042367348,0.15141596794785647,0.5833333333333334,0.5886926328502415
healthy_baseline,1,5,2526183.75,2597581.0,0.16666666666666666,-0.6116022901906851,0.20165127789472828,0.15157104997209941,0.625,0.5908816425120773
healthy_baseline,1,7,260039.828125,263370.34375,0.20833333333333334,-0.6306017012837317,0.20666874984754138,0.15176892294994768,0.625,0.5913345410628019
healthy_baseline,1,10,73537.2734375,70290.4765625,0.20833333333333334,-0.6553847979076068,0.2103065327841682,0.15195604527414658,0.6666666666666666,0.5841636473429952
healthy_baseline,1,15,15916.203125,17991.609375,0.25,-0.6613152467796826,0.22235943944281863,0.15229754251714622,0.8333333333333334,0.6055253623188406
healthy_baseline,1,20,19324.525390625,19423.505859375,0.25,-0.6284536544498672,0.23670824411296684,0.1521110570577864,0.8333333333333334,0.6333786231884058
